venue,year,paper_type,title,speakers,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,youtube_id,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
TQC,2021,poster,Evaluating Noise-Adaptive Quantum Compiling Strategies with Application-Motivated Benchmarks,,Davide Ferrari;Michele Amoretti,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Hyper-hybrid entanglement and the fidelity of quantum teleportation limit each other,,Soumya Das;Goutam Paul;Anindya Banerji,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Scalable Neural Decoder for Topological Surface Codes,,Kai Meinerz;Chae-Yeun Park;Simon Trebst,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Learning with Optimized Random Features: End-to-End Application of Exponential Speedup by Quantum Machine Learning without Sparsity and Low-Rankness Assumptions,,Hayata Yamasaki;Sathyawageeswar Subramanian;Sho Sonoda;Masato Koashi,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Behavior of Analog Quantum Algorithms,,Lucas Brady;Lucas Kocia;Przemek Bienias;Aniruddha Bapat;Yaroslav Kharkov;Alexey Gorshkov,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Gaussian dephasing noise spectroscopy by qudit spectators,,Clara Javaherian;Chris Ferrie;Gerardo Paz Silva,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Catalytic Entanglement,,Tulja Varun Kondra;Chandan Datta;Alexander Streltsov,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,"Measuring the projective-unitary invariant properties of a set of states, and applications",,Michał Oszmaniec;Daniel Brod;Ernesto Galvão,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Testing identity of collections of quantum states: sampling complexity analysis,,Marco Fanizza;Raffaele Salvia;Vittorio Giovannetti,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Virtual Distillation for Quantum Error Mitigation,,William J. Huggins;Sam McArdle;Thomas E. O’Brien;Joonho Lee;Nicholas C. Rubin;Sergio Boixo;K. Birgitta Whaley;Ryan Babbush;Jarrod R. McClean,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,"General Quantum Resource Theories: Maximal Resources, Catalytic Replication, and Consistent Measures",,Kohdai Kuroiwa;Hayata Yamasaki,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,The geometry of Bloch space in the context of quantum random access codes,,Laura Mančinska;Sigurd Storgaard,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Achieving fault tolerance against amplitude-damping noise,,Akshaya Jayashankar;Hoang Long My Duy;Hui Khoon Ng;Prabha Mandayam,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Lower Bound and Optimal Quantum Algorithm for Expectation Values from a System of Linear Equations,,Abhijeet Alase;Robert R. Nerem;Mohsen Bagherimehrab;Peter Høyer;Barry C. Sanders,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Process-optimized phase covariant quantum cloning,,Chloe Kim;Eric Chitambar,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Unconstrained Binary Models of the Travelling Salesman Problem Variants for Quantum Optimization,,Adam Glos;Jarosław Adam Miszczak;Özlem Salehi,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Limits of Short-Time Quantum Annealing,,Ali Hamed Moosavian;Seyed Sajad Kahani;Salman Beigi,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Fully Device Independent Quantum Private Query,,Jyotirmoy Basak;Kaushik Chakraborty,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Deniable Public-Key Authenticated Quantum Key Exchange,,Jeroen van Wier;Arash Atashpendar;Peter Roenne,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Fano Inequality for Additive Entropies,,Andrei Tanasescu;Pantelimon George Popescu,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Infeasible space reduction for QAOA through encoding change,,Ludmila Botelho;Adam Glos;Akash Kundu;Jarosław Adam Miszczak;Özlem Salehi;Zoltán Zimborás,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,SYSTEMATIC ERROR CORRECTION FOR QUANTUM FOURIER TRANSFORM ON IBM Q,,Carolina Allende;André Fonseca De Oliveira;Efrain Buksman,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,On the error exponents of binary state discrimination with composite hypotheses,,Milán Mosonyi;Zsombor Szilágyi;Mihály Weiner,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Routed quantum circuits,,Augustin Vanrietvelde;Hlér Kristjánsson;Jonathan Barrett,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,An efficient quantum algorithm for the time evolution of parameterized circuits,,Stefano Barison;Filippo Vicentini;Giuseppe Carleo,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Energy Lines and the optimal output ergotropy problem,,Salvatore Tirone;Raffaele Salvia;Vittorio Giovannetti,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,QUANTUM FORTUNE WHEEL,,Naresh Raghava Gudapati;Rohit Thampy;Rakesh R C;Megha Babu,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Device-independent quantum key distribution based on Bell inequalities with more than two inputs and two outputs,,Junior Ricardo Gonzales-Ureta;Ana Predojevic;Adan Cabello,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Amplitude Amplification Operators,,Hyeokjea Kwon;Joonwoo Bae,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Quantum Algorithm for the Longest Path Problem,,Kamil Khadiev;Ruslan Kapralov,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Hierarchical Extreme Quantum Machine Learning with Tensor and Neural Networks in the NISQ Era,,Pinaki Sen;Alberto Romo;Amandeep Bhatia,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Multi-qubit Quantum Finite Automata Using Structured Photons,,Stephen Z. D. Plachta;Markus Hiekkamäki;Abuzer Yakaryilmaz;Robert Fickler,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,AQSort: A quantum sorting algorithm for adiabatic quantum computers,,Matthias Werner;Marta P. Estarellas;Artur Garcia Saez,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Comparing Quantum Software Development Kits for Introductory Level Education,,Marija Šćekić;Abuzer Yakaryilmaz,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
TQC,2021,poster,Translating information into a larger gap in quantum annealing algorithms,,Ana Palacios de Luis;Marta P. Estarellas;Artur Garcia Saez,,,,,,,,,Source: https://tqc.iaqi.org/2021/program/accepted-posters/,,,
