venue,year,paper_type,title,authors,arxiv_ids,speaker,scheduled_date,scheduled_time,duration_minutes,session_name
QIP,2026,regular,The Sponge is Quantum Indifferentiable,Gorjan Alagic;Joseph Carolan;Christian Majenz;Saliha Tokat,2504.16887,Saliha Tokat,29 January,16:00,20,Merged slot
QIP,2026,regular,Bounding the asymptotic quantum value of all multipartite compiled non-local games,Matilde Baroni;Dominik Leichtle;Siniša Janković;Ivan Šupić,2507.12408,Dominik Leichtle,27 January,14:00,20,Merged slot
QIP,2026,regular,Computational relative entropy,Johannes Jakob Meyer;Asad Raza;Jacopo Rizzo;Lorenzo Leone;Sofiene Jerbi;Jens Eisert,,Lorenzo Leone,27 January,14:00,20,Merged slot
QIP,2026,regular,Efficient Learning Algorithms for Structured Bosonic and Fermionic Unitary Operators,Marco Fanizza;Vishnu Iyer;Junseo Lee;Antonio A. Mele;Francesco A. Mele,2504.11318,Vishnu Iyer,27 January,16:30,20,
QIP,2026,regular,Fast and Error-Correctable Quantum RAM,Francesco Cesa;Hannes Pichler;Hannes Bernien,2503.19172,Francesco Cesa,29 January,13:00,20,
QIP,2026,regular,Non-iid hypothesis testing: from classical to quantum,Giacomo De Palma;Marco Fanizza;Ryan O'Donnell;Connor Mowry,,Marco Fanizza,30 January,15:00,20,
QIP,2026,plenary_long,Representations of f-Divergences and their role in Quantum Hypothesis Testing,Salman Beigi;Hao-Chung Cheng;Christoph Hirche;Po-Chieh Liu;Marco Tomamichel,"2501.03799,2507.07065",Christoph Hirche,29 January,11:00,60,
QIP,2026,regular,On quantum to classical comparison for Davies generators,Joao Basso;Shirshendu Ganguly;Alistair Sinclair;Nikhil Srivastava;Zachary Stier;Thuy-Duong Vuong,,Thuy-Duong Vuong,26 January,16:00,20,
QIP,2026,regular,Efficient implementation of sequential quantum processes with group symmetry,Dmitry Grinko;Satoshi Yoshida;Mio Murao;Maris Ozols,,,,,,
QIP,2026,regular,"Long-range nonstabilizerness and quantum codes, phases, and complexity",Fuchuan Wei;Zi-Wen Liu,2503.04566,Fuchuan Wei,30 January,09:30,20,
QIP,2026,regular,Universal work extraction in quantum thermodynamics,Kaito Watanabe;Ryuji Takagi,2504.12373,Kaito Watanabe,30 January,11:00,20,
QIP,2026,regular,Extractors: QLDPC Architectures for Efficient Pauli-Based Computation,Zhiyang (Sunny) He;Alexander Cowtan;Dominic J. Williamson;Theodore J. Yoder,2503.10390,Zhiyang (Sunny) He,29 January,15:00,20,
QIP,2026,plenary_long,Quantum channel coding with a few code lengths,Hao-Chung Cheng;Po-Chieh Liu,2507.06232,Hao-Chung Cheng,29 January,11:00,60,
QIP,2026,regular,An Improved Quantum Algorithm for 3-Tuple Lattice Sieving,Lynn Engelberts;Yanlin Chen;Amin Shiraz Gilani;Maya-Iggy van Hoof;Stacey Jeffery;Ronald de Wolf,,Lynn Engelberts,30 January,13:00,20,
QIP,2026,regular,A complete theory for the Clifford commutant and its applications,Lennart Bittel;Jens Eisert;Lorenzo Leone;Antonio A. Mele;Salvatore F.E. Oliviero,"2504.12263,2507.22883",Lorenzo Leone,26 January,14:00,20,
QIP,2026,regular,Tight relations and equivalences between smooth relative entropies,Bartosz Regula;Ludovico Lami;Nilanjana Datta,2501.12447,Bartosz Regula,30 January,13:30,20,
QIP,2026,regular,Efficient Non-Adaptive Quantum Algorithms for Tolerant Junta Testing,Zongbo Bao;Yuxuan Liu;Penghui Yao;Zekun Ye;Jialin Zhang,2508.17306,Zongbo Bao,30 January,11:00,20,
QIP,2026,regular,Universal classical-quantum channel resolvability and private channel coding,Takaya Matsuura;Masahito Hayashi;Min-Hsiu Hsieh,,Takaya Matsuura,30 January,09:00,20,
QIP,2026,regular,Universal Fault Tolerance with Non-Transversal Clifford Gates,Benjamin Anker;Milad Marvian,,Benjamin Anker,29 January,13:30,20,
QIP,2026,regular,Strong converse exponent of channel interconversion,Aadil Oufkir;Yongsheng Yao;Mario Berta,,Mario Berta,30 January,09:30,20,
